ID, Temp C
256,25.39
257,25.39
258,25.39
259,25.39
260,25.39
261,25.39
262,25.39
263,25.39
264,25.39
265,25.39
266,25.39
267,25.39
268,25.39
269,25.39
270,25.39
271,25.39
272,25.39
273,25.39
274,25.39
275,25.39
276,25.39
277,25.39
278,25.39
279,25.39
280,25.39
281,25.39
282,25.39
283,25.39
284,25.39
285,25.39
286,25.39
287,25.39
288,25.39
289,25.39
290,25.39
291,25.39
292,25.39
293,25.39
294,25.39
295,25.39
296,25.39
297,25.39
298,25.39
299,25.39
300,25.39
301,25.39
302,25.39
303,25.39
304,25.39
305,25.39
306,25.39
307,25.39
308,25.39
309,25.39
310,25.39
311,25.39
312,25.39
313,25.39
314,25.39
315,25.39
316,25.39
317,25.39
318,25.39
319,25.39
320,25.39
321,25.39
322,25.39
323,25.39
324,25.39
325,25.39
326,25.39
327,25.39
328,25.39
329,25.39
330,25.39
331,25.39
332,25.39
333,25.39
334,25.39
335,25.39
336,25.39
337,25.39
338,25.39
339,25.39
340,25.39
341,25.39
342,25.39
343,25.39
344,25.39
345,25.39
346,25.39
347,25.39
348,25.39
349,25.39
350,25.39
351,25.39
352,25.39
353,25.39
354,25.39
355,25.39
356,25.39
357,25.39
358,25.39
359,25.39
360,25.39
361,25.39
362,25.39
363,25.39
364,25.39
365,25.39
366,25.39
367,25.39
368,25.39
369,25.39
370,25.39
371,25.39
372,25.39
373,25.39
374,25.39
375,25.39
376,25.39
377,25.39
378,25.39
379,25.39
380,25.39
381,25.39
382,25.39
383,25.39
384,25.39
385,25.39
386,25.39
387,25.39
388,25.39
389,25.39
390,25.39
391,25.39
392,25.39
393,25.39
394,25.39
395,25.39
396,25.39
397,25.39
398,25.39
399,25.39
400,25.39
401,25.39
402,25.39
403,25.39
404,25.39
405,25.39
406,25.39
407,25.39
408,25.39
409,25.39
410,25.39
411,25.39
412,25.39
413,25.39
414,25.39
415,25.39
416,25.39
417,25.39
418,25.39
419,25.39
420,25.39
421,25.39
422,25.39
423,25.39
424,25.39
425,25.39
426,25.39
427,25.39
428,25.39
429,25.39
430,25.39
431,25.39
432,25.39
433,25.39
434,25.39
435,25.39
436,25.39
437,25.39
438,25.39
439,25.39
440,25.39
441,25.39
442,25.39
443,25.39
444,25.39
445,25.39
446,25.39
447,25.39
448,25.39
449,25.39
450,25.39
451,25.39
452,25.39
453,25.39
454,25.39
455,25.39
456,25.39
457,25.39
458,25.39
459,25.39
460,25.39
461,25.39
462,25.39
463,25.39
464,25.39
465,25.39
466,25.39
467,25.39
468,25.39
469,25.39
470,25.39
471,25.39
472,25.39
473,25.39
474,25.39
475,25.39
476,25.39
477,25.39
478,25.39
479,25.39
480,25.39
481,25.39
482,25.39
483,25.39
484,25.39
485,25.39
486,25.39
487,25.39
488,25.39
489,25.39
490,25.39
491,25.39
492,25.39
493,25.39
494,25.39
495,25.39
496,25.39
497,25.39
498,25.39
499,25.39
500,25.39
501,25.39
502,25.39
503,25.39
504,25.39
505,25.39
506,25.39
507,25.39
508,25.39
509,25.39
510,25.39
511,25.39
512,25.39
513,25.39
514,25.39
515,25.39
516,25.39
517,25.39
518,25.39
519,25.39
520,25.39
521,25.39
522,25.39
523,25.39
524,25.39
525,25.39
526,25.39
527,25.39
528,25.39
529,25.39
530,25.39
531,25.39
532,25.39
533,25.39
534,25.39
535,25.39
536,25.39
537,25.39
538,25.39
539,25.39
540,25.39
541,25.39
542,25.39
543,25.39
544,25.39
545,25.39
546,25.39
547,25.39
548,25.39
549,25.39
550,25.39
551,25.39
552,25.39
553,25.39
554,25.39
555,25.39
556,25.39
557,25.39
558,25.39
559,25.39
560,25.39
561,25.39
562,25.39
563,25.39
564,25.39
565,25.39
566,25.39
567,25.39
568,25.39
569,25.39
570,25.39
571,25.39
572,25.39
573,25.39
574,25.39
575,25.39
576,25.39
577,25.39
578,25.39
579,25.39
